 ,Area,Perim.,Angle,Length
1,26,24.89,-48.18,24.89
2,67,65.639,-96.147,65.639
3,77,75.934,-76.329,75.934
4,61,60.482,48.366,60.482
5,75,73.743,2.322,73.743
6,58,56.949,-87.99,56.949
7,73,72.168,-3.972,72.168
8,70,68.644,-90,68.644
9,85,83.596,-32.735,83.596
10,58,57.268,-37.875,57.268
11,61,60.366,2.816,60.366
12,50,49.469,-25.017,49.469
13,68,67.054,-2.564,67.054
14,68,66.656,-11.31,66.656
15,56,54.664,-117.512,54.664
16,46,45.483,-96.34,45.483
17,48,47.414,41.532,47.414
18,70,69.376,8.246,69.376
19,65,63.754,30.192,63.754
20,57,55.73,-122.55,55.73
21,46,44.58,-124.046,44.58
22,55,53.602,-128.157,53.602
23,62,61.402,-115.741,61.402
24,68,66.656,-11.31,66.656
25,38,37.061,17.447,37.061
26,45,44.043,-9.246,44.043
27,39,38.179,-15.124,38.179
28,47,45.973,33.341,45.973
29,44,42.685,10.784,42.685
30,41,40.46,-24.677,40.46
31,55,53.681,-3.18,53.681
32,48,46.909,-92.437,46.909
33,51,50.367,-105.154,50.367
34,44,42.62,-45,42.62
35,48,47.414,-138.366,47.414
36,41,40.46,24.677,40.46
37,34,32.508,146.31,32.508
38,55,53.602,38.991,53.602
39,48,46.909,-91.219,46.909
40,38,36.872,38.418,36.872
41,26,24.89,136.637,24.89
42,37,35.948,26.565,35.948
43,35,33.901,34.16,33.901
44,33,32.335,21.161,32.335
45,28,26.84,-87.879,26.84
46,31,30.183,-34.216,30.183
47,28,26.84,4.236,26.84
48,40,38.544,176.987,38.544
49,34,33.485,-142.431,33.485
50,44,42.685,-114.775,42.685
51,43,41.99,175.914,41.99
52,59,58.239,-18.122,58.239
53,36,35.159,-90,35.159
54,53,51.685,25.084,51.685
55,50,48.582,-91.169,48.582
56,40,38.834,-97.306,38.834
57,38,36.872,-178.452,36.872
58,55,53.993,7.386,53.993
59,33,32.205,-98.881,32.205
60,46,45.483,6.203,45.483
61,34,33.021,-149.621,33.021
62,41,40.495,29.055,40.495
63,41,40.217,-92.862,40.217
64,35,34.475,28.072,34.475
65,31,30.183,-19.026,30.183
66,29,27.613,-77.471,27.613
67,30,28.902,-79.875,28.902
68,46,45.483,-173.66,45.483
69,57,55.73,33.111,55.73
70,34,33.021,31.264,33.021
71,50,49.241,-55.008,49.241
72,42,41.351,59.744,41.351
73,35,33.527,-86.532,33.527
74,27,25.991,-76.504,25.991
75,50,48.553,-46.685,48.553
76,46,45.081,31.608,45.081
77,51,50.172,24.538,50.172
78,45,44.233,-30.069,44.233
79,40,38.942,-65.433,38.942
80,40,38.942,-25.907,38.942
81,50,49.013,-97.125,49.013
82,48,46.519,-29.899,46.519
83,29,27.865,56.889,27.865
84,45,44.233,-60.573,44.233
85,59,58.119,12.095,58.119
86,43,41.99,-85.914,41.99
87,35,34.148,-78.024,34.148
88,35,33.527,3.366,33.527
89,30,28.805,-143.531,28.805
90,34,32.508,-146.31,32.508
91,28,27.255,-10.491,27.255
92,33,32.205,-27.35,32.205
93,38,36.872,-49.399,36.872
94,42,40.529,37.999,40.529
95,29,27.613,12.529,27.613
96,27,25.611,11.31,25.611
97,21,19.525,-30.466,19.525
98,24,23.32,19.983,23.32
99,31,30.183,-19.026,30.183
100,33,31.811,0,31.811
101,34,33.233,-41.348,33.233
102,34,33.485,-143.471,33.485
103,27,26.206,-27.553,26.206
104,50,48.813,-30.763,48.813
105,36,34.839,-125.538,34.839
106,19,18.11,-33.69,18.11
107,16,15.436,-42.274,15.436
108,25,24.146,-33.024,24.146
109,30,28.512,-2.045,28.512
110,24,23.499,-4.764,23.499
111,21,20.23,-22.834,20.23
112,29,27.714,-64.359,27.714
113,29,27.714,-64.359,27.714
114,30,29.24,-66.038,29.24
115,28,27.255,-49.399,27.255
116,37,36.142,12.875,36.142
117,30,29.288,30.964,29.288
118,34,32.979,-66.571,32.979
119,33,31.987,48.814,31.987
120,33,31.59,-32.196,31.59
121,38,37.437,-63.435,37.437
122,32,30.781,45,30.781
123,35,33.652,-5.042,33.652
124,27,26.472,-145.713,26.472
125,30,28.805,-125.311,28.805
126,34,32.508,100.62,32.508
127,41,39.514,-36.87,39.514
128,33,32.335,-68.199,32.335
129,43,42.157,6.789,42.157
130,36,35.477,19.983,35.477
131,42,40.771,-71.565,40.771
132,32,31.278,14.47,31.278
133,35,33.901,-69.444,33.901
134,52,51.113,-31.535,51.113
135,32,30.872,-50.194,30.872
136,53,51.685,-25.084,51.685
137,32,31.143,-127.235,31.143
138,39,37.624,-57.995,37.624
139,40,39.229,50.194,39.229
140,39,38.216,-28.61,38.216
141,35,34.353,-132.614,34.353
142,24,22.772,-144.162,22.772
143,27,25.556,-30.579,25.556
144,27,26.206,-62.447,26.206
145,25,23.972,-25.463,23.972
146,31,29.621,-42.274,29.621
147,34,33.233,-40.03,33.233
148,33,32.205,-117.35,32.205
149,29,28.462,-90,28.462
150,38,37.175,-7.907,37.175
151,37,36.065,-22.38,36.065
152,33,31.855,3.576,31.855
153,35,33.86,8.366,33.86
154,24,22.772,-36.384,22.772
155,28,27.255,-46.469,27.255
156,23,21.83,-95.194,21.83
157,26,25.114,-90,25.114
158,43,41.89,-2.726,41.89
159,28,26.84,-4.236,26.84
160,43,41.856,0,41.856
161,34,33.233,-41.348,33.233
162,36,34.959,-106.858,34.959
163,28,27.255,-48.013,27.255
164,26,25.114,-90,25.114
165,34,32.508,-123.69,32.508
166,37,35.595,-48.366,35.595
167,32,30.872,-131.009,30.872
168,27,25.556,-30.579,25.556
169,29,27.714,-64.359,27.714
170,38,36.872,1.548,36.872
171,26,24.89,-131.82,24.89
172,36,34.839,-55.408,34.839
173,32,30.781,-113.199,30.781
174,44,43.207,-53.393,43.207
175,28,27.255,10.491,27.255
176,32,30.872,-11.31,30.872
177,39,37.624,-32.005,37.624
178,26,24.72,-119.745,24.72
179,22,21.178,-19.29,21.178
180,28,26.84,-4.236,26.84
181,40,38.544,-3.013,38.544
182,32,30.781,-43.668,30.781
183,41,40.182,0,40.182
184,38,37.437,-63.435,37.437
185,26,24.89,-48.18,24.89